Source.Event,NOAA.Event
FREEZING.DRIZZLE,Winter.Weather
FREEZING.FOG,Freezing.Fog
FREEZING.RAIN,Winter.Weather
FREEZING.RAIN.SLEET,Winter.Storm
FREEZING.RAIN.SNOW,Winter.Storm
FREEZING.SPRAY,Sleet
FROST,Frost.Freeze
FROST.FREEZE,Frost.Freeze
FUNNEL.CLOUD,Funnel.Cloud
GLAZE,Freezing.Fog
GLAZE.ICE,Ice.Storm
GLAZE.ICE.STORM,Ice.Storm
GRADIENT.WIND,High.Wind
GRASS.FIRES,Wildfire
GROUND.BLIZZARD,Blizzard
GUSTNADO,Thunderstorm.Wind
GUSTY.WIND,High.Wind
GUSTY.WIND.HAIL,Hail
GUSTY.WIND.HVY.RAIN,Heavy.Rain
GUSTY.WIND.RAIN,High.Wind
GUSTY.WINDS,High.Wind
HAIL,Hail
HAIL.0.75,Hail
HAIL.075,Hail
HAIL.100,Hail
HAIL.125,Hail
HAIL.150,Hail
HAIL.175,Hail
HAIL.200,Hail
HAIL.275,Hail
HAIL.450,Hail
HAIL.75,Hail
HAIL.DAMAGE,Hail
HAIL.WIND,Hail
HAIL.WINDS,Hail
HAILSTORM,Hail
HARD.FREEZE,Frost.Freeze
HAZARDOUS.SURF,High.Surf
HEAT,Excessive.Heat
HEAT.WAVE,Excessive.Heat
HEAT.WAVE.DROUGHT,Drought
HEAT.WAVES,Excessive.Heat
HEAVY.LAKE.SNOW,Heavy.Snow
HEAVY.MIX,Winter.Weather
HEAVY.PRECIPITATION,Heavy.Rain
HEAVY.RAIN,Heavy.Rain
HEAVY.RAIN.AND.FLOOD,Flood
HEAVY.RAIN.HIGH.SURF,Heavy.Rain
HEAVY.RAIN.LIGHTNING,Lightning
HEAVY.RAIN.SEVERE.WEATHER,Heavy.Rain
HEAVY.RAIN.SMALL.STREAM.URBAN,Heavy.Rain
HEAVY.RAIN.SNOW,Winter.Weather
HEAVY.RAINS,Heavy.Rain
HEAVY.RAINS.FLOODING,Flood
HEAVY.SEAS,Marine.Strong.Wind
HEAVY.SHOWER,Heavy.Rain
HEAVY.SNOW,Heavy.Snow
HEAVY.SNOW.AND.HIGH.WINDS,Winter.Storm
HEAVY.SNOW.AND.STRONG.WINDS,Winter.Weather
HEAVY.SNOW.BLIZZARD,Blizzard
HEAVY.SNOW.BLIZZARD.AVALANCHE,Avalanche
HEAVY.SNOW.FREEZING.RAIN,Winter.Weather
HEAVY.SNOW.HIGH.WINDS.FLOOD,Winter.Storm
HEAVY.SNOW.ICE,Winter.Weather
HEAVY.SNOW.SHOWER,Winter.Weather
HEAVY.SNOW.SQUALLS,Winter.Weather
HEAVY.SNOW.WIND,Winter.Storm
HEAVY.SNOW.WINTER.STORM,Winter.Storm
HEAVY.SNOWPACK,Heavy.Snow
HEAVY.SURF,High.Surf
HEAVY.SURF.AND.WIND,High.Surf
HEAVY.SURF.COASTAL.FLOODING,Coastal.Flood
HEAVY.SURF.HIGH.SURF,High.Surf
HEAVY.SWELLS,High.Surf
HIGH,NA
HIGH.SEAS,Marine.High.Wind
HIGH.SURF,High.Surf
HIGH.SURF.ADVISORY,High.Surf
HIGH.SWELLS,High.Surf
HIGH.TIDES,Coastal.Flood
HIGH.WATER,Flood
HIGH.WAVES,High.Surf
HIGH.WIND,High.Wind
HIGH.WIND.48,High.Wind
HIGH.WIND.AND.SEAS,Marine.High.Wind
HIGH.WIND.BLIZZARD,Blizzard
HIGH.WIND.DAMAGE,High.Wind
HIGH.WIND.G40.,High.Wind
HIGH.WIND.HEAVY.SNOW,Winter.Storm
HIGH.WIND.SEAS,Marine.High.Wind
HIGH.WINDS,High.Wind
HIGH.WINDS.,High.Wind
HIGH.WINDS.COASTAL.FLOOD,Coastal.Flood
HIGH.WINDS.COLD,High.Wind
HIGH.WINDS.HEAVY.RAIN,Heavy.Rain
HIGH.WINDS.HEAVY.RAINS,Heavy.Rain
HIGH.WINDS.SNOW,Heavy.Snow
HURRICANE,Hurricane
HURRICANE.EDOUARD,Hurricane
HURRICANE.EMILY,Hurricane
HURRICANE.ERIN,Hurricane
HURRICANE.FELIX,Hurricane
HURRICANE.GENERATED.SWELLS,Hurricane
HURRICANE.GORDON,Hurricane
HURRICANE.OPAL,Hurricane
HURRICANE.OPAL.HIGH.WINDS,Hurricane
HURRICANE.TYPHOON,Hurricane
HVY.RAIN,Heavy.Rain
HYPERTHERMIA.EXPOSURE,Cold.Wind.Chill
HYPOTHERMIA,Cold.Wind.Chill
HYPOTHERMIA.EXPOSURE,Cold.Wind.Chill
ICE,Ice.Storm
ICE.AND.SNOW,Ice.Storm
ICE.FLOES,Ice.Storm
ICE.JAM,Ice.Storm
ICE.JAM.FLOOD.MINOR,Ice.Storm
ICE.JAM.FLOODING,Ice.Storm
ICE.ON.ROAD,Ice.Storm
ICE.ROADS,Ice.Storm
ICE.STORM,Ice.Storm
ICE.STORM.FLASH.FLOOD,Flash.Flood
ICE.STRONG.WINDS,Winter.Storm
ICY.ROADS,Ice.Storm
LAKE.EFFECT.SNOW,Heavy.Snow
LAKE.FLOOD,Flood
LAKESHORE.FLOOD,Coastal.Flood
LANDSLIDE,Debris.Flow
LANDSLIDES,Debris.Flow
LANDSLUMP,Debris.Flow
LANDSPOUT,Tornado
LATE.SEASON.SNOW,Heavy.Snow
LIGHT.FREEZING.RAIN,Sleet
LIGHT.SNOW,Winter.Weather
LIGHT.SNOWFALL,Winter.Weather
LIGHTING,Lightning
LIGHTNING,Lightning
LIGHTNING.,Lightning
LIGHTNING.AND.HEAVY.RAIN,Heavy.Rain
LIGHTNING.AND.THUNDERSTORM.WIN,Thunderstorm.Wind
LIGHTNING.FIRE,Lightning
LIGHTNING.HEAVY.RAIN,Heavy.Rain
LIGHTNING.INJURY,Lightning
LIGHTNING.THUNDERSTORM.WINDS,Thunderstorm.Wind
LIGHTNING.WAUSEON,Lightning
LIGNTNING,Lightning
LOW.TEMPERATURE,Extreme.Cold.Wind.Chill
MAJOR.FLOOD,Flood
MARINE.ACCIDENT,NA
MARINE.HAIL,Marine.Hail
MARINE.HIGH.WIND,Marine.High.Wind
MARINE.MISHAP,NA
MARINE.STRONG.WIND,Marine.Strong.Wind
MARINE.THUNDERSTORM.WIND,Marine.Thunderstorm.Wind
MARINE.TSTM.WIND,Marine.Thunderstorm.Wind
MICROBURST,Thunderstorm.Wind
MICROBURST.WINDS,Thunderstorm.Wind
MINOR.FLOODING,Flood
MIXED.PRECIP,Winter.Weather
MIXED.PRECIPITATION,Winter.Weather
MUD.SLIDE,Debris.Flow
MUD.SLIDES,Debris.Flow
MUD.SLIDES.URBAN.FLOODING,Debris.Flow
MUDSLIDE,Debris.Flow
MUDSLIDES,Debris.Flow
NON.SEVERE.WIND.DAMAGE,High.Wind
NON.TSTM.WIND,High.Wind
OTHER,NA
RAIN,Heavy.Rain
RAIN.SNOW,Winter.Weather
RAIN.WIND,Winter.Weather
RAINSTORM,Heavy.Rain
RAPIDLY.RISING.WATER,Flood
RECORD.COLD,Extreme.Cold.Wind.Chill
RECORD.EXCESSIVE.HEAT,Excessive.Heat
RECORD.HEAT,Excessive.Heat
RECORD.RAINFALL,Heavy.Rain
RECORD.SNOW,Heavy.Snow
RIP.CURRENT,Rip.Current
RIP.CURRENTS,Rip.Current
RIP.CURRENTS.HEAVY.SURF,Rip.Current
RIVER.AND.STREAM.FLOOD,Flood
RIVER.FLOOD,Flood
RIVER.FLOODING,Flood
ROCK.SLIDE,Debris.Flow
ROGUE.WAVE,High.Surf
ROUGH.SEAS,High.Surf
ROUGH.SURF,High.Surf
RURAL.FLOOD,Flood
SEICHE,Seiche
SEVERE.THUNDERSTORM,Thunderstorm.Wind
SEVERE.THUNDERSTORM.WINDS,Thunderstorm.Wind
SEVERE.THUNDERSTORMS,Thunderstorm.Wind
SEVERE.TURBULENCE,Thunderstorm.Wind
SLEET,Sleet
SLEET.ICE.STORM,Ice.Storm
SMALL.HAIL,Hail
SMALL.STREAM.FLOOD,Flood
SNOW,Heavy.Snow
SNOW.ACCUMULATION,Heavy.Snow
SNOW.AND.HEAVY.SNOW,Heavy.Snow
SNOW.AND.ICE,Winter.Weather
SNOW.AND.ICE.STORM,Ice.Storm
SNOW.BITTER.COLD,Extreme.Cold.Wind.Chill
SNOW.BLOWING.SNOW,Heavy.Snow
SNOW.COLD,Winter.Weather
SNOW.FREEZING.RAIN,Winter.Weather
SNOW.HEAVY.SNOW,Winter.Storm
SNOW.HIGH.WINDS,Winter.Storm
SNOW.ICE,Winter.Weather
SNOW.ICE.STORM,Winter.Weather
SNOW.SLEET,Winter.Weather
SNOW.SLEET.FREEZING.RAIN,Winter.Weather
SNOW.SQUALL,Heavy.Snow
SNOW.SQUALLS,Heavy.Snow
SNOWMELT.FLOODING,Flood
STORM.FORCE.WINDS,Thunderstorm.Wind
STORM.SURGE,Storm.Surge.Tide
STORM.SURGE.TIDE,Storm.Surge.Tide
STRONG.WIND,High.Wind
STRONG.WINDS,High.Wind
THUDERSTORM.WINDS,Thunderstorm.Wind
THUNDEERSTORM.WINDS,Thunderstorm.Wind
THUNDERESTORM.WINDS,Thunderstorm.Wind
THUNDERSNOW,Thunderstorm.Wind
THUNDERSTORM,Thunderstorm.Wind
THUNDERSTORM.DAMAGE.TO,Thunderstorm.Wind
THUNDERSTORM.HAIL,Hail
THUNDERSTORM.WIND,Thunderstorm.Wind
THUNDERSTORM.WIND.,Thunderstorm.Wind
THUNDERSTORM.WIND.60.MPH,Thunderstorm.Wind
THUNDERSTORM.WIND.65.MPH,Thunderstorm.Wind
THUNDERSTORM.WIND.65MPH,Thunderstorm.Wind
THUNDERSTORM.WIND.98.MPH,Thunderstorm.Wind
THUNDERSTORM.WIND.AWNING,Thunderstorm.Wind
THUNDERSTORM.WIND.G40.,Thunderstorm.Wind
THUNDERSTORM.WIND.G50,Thunderstorm.Wind
THUNDERSTORM.WIND.G52,Thunderstorm.Wind
THUNDERSTORM.WIND.G55,Thunderstorm.Wind
THUNDERSTORM.WIND.G60,Thunderstorm.Wind
THUNDERSTORM.WIND.HAIL,Thunderstorm.Wind
THUNDERSTORM.WIND.LIGHTNING,Lightning
THUNDERSTORM.WIND.TREE,Thunderstorm.Wind
THUNDERSTORM.WIND.TREES,Thunderstorm.Wind
THUNDERSTORM.WINDS,Thunderstorm.Wind
THUNDERSTORM.WINDS.,Thunderstorm.Wind
THUNDERSTORM.WINDS.13,Thunderstorm.Wind
THUNDERSTORM.WINDS.63.MPH,Thunderstorm.Wind
THUNDERSTORM.WINDS.AND,Thunderstorm.Wind
THUNDERSTORM.WINDS.FLOOD,Flood
THUNDERSTORM.WINDS.FLOODING,Flood
THUNDERSTORM.WINDS.FUNNEL.CLOU,Funnel.Cloud
THUNDERSTORM.WINDS.G60,Thunderstorm.Wind
THUNDERSTORM.WINDS.HAIL,Hail
THUNDERSTORM.WINDS.LIGHTNING,Lightning
THUNDERSTORM.WINDS53,Thunderstorm.Wind
THUNDERSTORM.WINDSHAIL,Thunderstorm.Wind
THUNDERSTORM.WINDSS,Thunderstorm.Wind
THUNDERSTORM.WINS,Thunderstorm.Wind
THUNDERSTORMS,Thunderstorm.Wind
THUNDERSTORMS.WIND,Thunderstorm.Wind
THUNDERSTORMS.WINDS,Thunderstorm.Wind
THUNDERSTORMW,Thunderstorm.Wind
THUNDERSTORMWINDS,Thunderstorm.Wind
THUNDERSTROM.WIND,Thunderstorm.Wind
THUNDERTORM.WINDS,Thunderstorm.Wind
THUNERSTORM.WINDS,Thunderstorm.Wind
TIDAL.FLOODING,Coastal.Flood
TORNADO,Tornado
TORNADO.F0,Tornado
TORNADO.F1,Tornado
TORNADO.F2,Tornado
TORNADO.F3,Tornado
TORNADOES,Tornado
TORNADOES.TSTM.WIND.HAIL,Tornado
TORNDAO,Tornado
TORRENTIAL.RAINFALL,Heavy.Rain
TROPICAL.DEPRESSION,Tropical.Depression
TROPICAL.STORM,Tropical.Sotrm
TROPICAL.STORM.ALBERTO,Tropical.Sotrm
TROPICAL.STORM.DEAN,Tropical.Sotrm
TROPICAL.STORM.GORDON,Tropical.Sotrm
TROPICAL.STORM.JERRY,Tropical.Sotrm
TSTM.WIND,Thunderstorm.Wind
TSTM.WIND.40,Thunderstorm.Wind
TSTM.WIND.41.,Thunderstorm.Wind
TSTM.WIND.45,Thunderstorm.Wind
TSTM.WIND.55,Thunderstorm.Wind
TSTM.WIND.65.,Thunderstorm.Wind
TSTM.WIND.AND.LIGHTNING,Lightning
TSTM.WIND.DAMAGE,Thunderstorm.Wind
TSTM.WIND.G35.,Thunderstorm.Wind
TSTM.WIND.G40.,Thunderstorm.Wind
TSTM.WIND.G45,Thunderstorm.Wind
TSTM.WIND.G45.,Thunderstorm.Wind
TSTM.WIND.G58,Thunderstorm.Wind
TSTM.WIND.HAIL,Thunderstorm.Wind
TSTM.WINDS,Thunderstorm.Wind
TSTMW,Thunderstorm.Wind
TSUNAMI,Tsunami
TUNDERSTORM.WIND,Thunderstorm.Wind
TYPHOON,Hurricane
UNSEASONABLE.COLD,Extreme.Cold.Wind.Chill
UNSEASONABLY.COLD,Extreme.Cold.Wind.Chill
UNSEASONABLY.WARM,Excessive.Heat
UNSEASONABLY.WARM.AND.DRY,Excessive.Heat
UNSEASONAL.RAIN,Heavy.Rain
URBAN.AND.SMALL,Flood
URBAN.AND.SMALL.STREAM.FLOODIN,Flood
URBAN.FLOOD,Flood
URBAN.FLOODING,Flood
URBAN.FLOODS,Flood
URBAN.SMALL,Flood
URBAN.SMALL.STREAM,Flood
URBAN.SMALL.STREAM.FLOOD,Flood
URBAN.SML.STREAM.FLD,Flood
VOLCANIC.ASH,Volcanic.Ash
WARM.WEATHER,Excessive.Heat
WATERSPOUT,Waterspout
WATERSPOUT.,Waterspout
WATERSPOUT.TORNADO,Tornado
WET.MICROBURST,Thunderstorm.Wind
WHIRLWIND,Thunderstorm.Wind
WILD.FIRES,Wildfire
WILD.FOREST.FIRE,Wildfire
WILD.FOREST.FIRES,Wildfire
WILDFIRE,Wildfire
WILDFIRES,Wildfire
WIND,High.Wind
WIND.AND.WAVE,Storm.Surge.Tide
WIND.DAMAGE,High.Wind
WIND.HAIL,Hail
WIND.STORM,High.Wind
WINDS,High.Wind
WINTER.STORM,Winter.Storm
WINTER.STORM.HIGH.WINDS,Winter.Storm
WINTER.STORMS,Winter.Storm
WINTER.WEATHER,Winter.Weather
WINTER.WEATHER.MIX,Winter.Weather
WINTRY.MIX,Winter.Weather
